BASIC,pack_current,pack_inst_voltage,pack_soc,relay_state,checksum,BMS_TEMP,pack_dcl,pack_ccl,BMS_high_temp,BMS_low_temp,checksum,STRINGS,high_cell_voltage,high_cell_voltage_id,low_cell_voltage,low_cell_voltage_id,checksum,BATTERY_TEMP,cell_high_temp,high_thermistor_id,cell_low_temp,low_thermistor_id,avg_temp,internal_temp,checksum,HEALTH,pack_health,adaptive_total_capacity,input_supply_voltage,checksum,CELL,cell_id,instant_voltage,internal_resistance,open_voltage,checksum,timestamp
BASIC,-7.1000000000000005,89.3,45.0,46312,185,BMS_TEMP,180,48,27,20,204,STRINGS,3.9007,14,3.7816,11,23296,BATTERY_TEMP,27,1,20,127,26,27,58368,HEALTH,100,0,12.6,27212,CELL,4,3.8818,477,3.8478,0,2026-04-02 12:47:46.359016
BASIC,-7.1000000000000005,89.3,45.0,46312,185,BMS_TEMP,180,48,27,20,204,STRINGS,3.9008,14,3.7818,11,24064,BATTERY_TEMP,27,1,20,127,26,27,58368,HEALTH,100,0,12.6,27212,CELL,7,3.8863,477,3.8523,0,2026-04-02 12:47:46.733299
BASIC,-7.1000000000000005,89.3,45.0,46312,185,BMS_TEMP,180,48,27,20,204,STRINGS,3.9008,14,3.7818,11,24064,BATTERY_TEMP,27,1,20,127,26,27,58368,HEALTH,100,0,12.6,27212,CELL,19,3.8931,477,3.8591,0,2026-04-02 12:47:47.359241
BASIC,-7.1000000000000005,89.3,45.0,46312,185,BMS_TEMP,180,48,27,20,204,STRINGS,3.9008,14,3.7817,11,23808,BATTERY_TEMP,27,1,20,127,26,27,58368,HEALTH,100,0,12.6,27212,CELL,14,3.8902,477,3.8563,0,2026-04-02 12:47:47.984057
BASIC,-7.1000000000000005,89.3,45.0,46312,185,BMS_TEMP,180,48,27,20,204,STRINGS,3.9008,14,3.7818,11,24064,BATTERY_TEMP,27,1,20,127,26,27,58368,HEALTH,100,0,12.6,27212,CELL,9,3.8864,477,3.8525,0,2026-04-02 12:47:48.122401
BASIC,-7.1000000000000005,89.3,45.0,46312,185,BMS_TEMP,180,48,27,20,204,STRINGS,3.9008,14,3.7818,11,24064,BATTERY_TEMP,27,1,20,127,26,27,58368,HEALTH,100,0,12.6,27212,CELL,12,3.8885,477,3.8544,0,2026-04-02 12:47:48.271805
BASIC,-7.1000000000000005,89.3,45.0,46312,185,BMS_TEMP,180,48,27,20,204,STRINGS,3.9008,14,3.7817,11,23808,BATTERY_TEMP,27,1,20,127,26,27,58368,HEALTH,100,0,12.6,27212,CELL,15,3.8921,477,3.858,0,2026-04-02 12:47:48.408447
BASIC,-7.1000000000000005,89.3,45.0,46312,185,BMS_TEMP,180,48,27,20,204,STRINGS,3.9009,14,3.7818,11,24320,BATTERY_TEMP,27,1,20,127,26,27,58368,HEALTH,100,0,12.6,27212,CELL,21,3.8927,477,3.8589,0,2026-04-02 12:47:48.552321
BASIC,-7.1000000000000005,89.3,45.0,46312,185,BMS_TEMP,180,48,27,20,204,STRINGS,3.9008,14,3.7818,11,24064,BATTERY_TEMP,27,1,20,127,26,27,58368,HEALTH,100,0,12.6,27212,CELL,1,3.8806,477,3.8466,0,2026-04-02 12:47:48.708434
BASIC,-7.1000000000000005,89.3,45.0,46312,185,BMS_TEMP,180,48,27,20,204,STRINGS,3.9008,14,3.7818,11,24064,BATTERY_TEMP,27,1,20,127,26,27,58368,HEALTH,100,0,12.6,27212,CELL,7,3.8864,477,3.8522,0,2026-04-02 12:47:49.020362
BASIC,-7.1000000000000005,89.3,45.0,46312,185,BMS_TEMP,180,48,27,20,204,STRINGS,3.9009,14,3.7819,11,24576,BATTERY_TEMP,27,1,20,127,26,27,58368,HEALTH,100,0,12.6,27212,CELL,16,3.891,477,3.8571,0,2026-04-02 12:47:49.227137
